gene_id,gene_name,genome
ENSG00000004975,DVL2,hg38
ENSG00000005001,PRSS22,hg38
ENSG00000005007,UPF1,hg38
ENSG00000005020,SKAP2,hg38
ENSG00000005022,SLC25A5,hg38
ENSG00000005059,MCUB,hg38
ENSG00000005073,HOXA11,hg38
ENSG00000005075,POLR2J,hg38
ENSG00000005100,DHX33,hg38
ENSG00000005102,MEOX1,hg38
ENSG00000005108,THSD7A,hg38
ENSG00000005156,LIG3,hg38
ENSG00000005175,RPAP3,hg38
ENSG00000005187,ACSM3,hg38
ENSG00000005189,REXO5,hg38
ENSG00000005194,CIAPIN1,hg38
ENSG00000005206,SPPL2B,hg38
ENSG00000005238,ATOSB,hg38
ENSG00000005243,COPZ2,hg38
ENSG00000005249,PRKAR2B,hg38
ENSG00000005302,MSL3,hg38
ENSG00000005339,CREBBP,hg38
ENSG00000005379,TSPOAP1,hg38
ENSG00000005381,MPO,hg38
ENSG00000005421,PON1,hg38
ENSG00000005436,GCFC2,hg38
ENSG00000005448,WDR54,hg38
ENSG00000005469,CROT,hg38
ENSG00000005471,ABCB4,hg38
ENSG00000005483,KMT2E,hg38
ENSG00000005486,RHBDD2,hg38
ENSG00000005513,SOX8,hg38
ENSG00000005700,IBTK,hg38
ENSG00000005801,ZNF195,hg38
ENSG00000005810,MYCBP2,hg38
ENSG00000005812,FBXL3,hg38
ENSG00000005844,ITGAL,hg38
ENSG00000005882,PDK2,hg38
ENSG00000005884,ITGA3,hg38
ENSG00000005889,ZFX,hg38
ENSG00000005893,LAMP2,hg38
ENSG00000005961,ITGA2B,hg38
ENSG00000005981,ASB4,hg38
ENSG00000006007,GDE1,hg38
ENSG00000006015,REX1BD,hg38
ENSG00000006016,CRLF1,hg38
ENSG00000006025,OSBPL7,hg38
ENSG00000006042,TMEM98,hg38
ENSG00000006047,YBX2,hg38
ENSG00000006059,KRT33A,hg38
ENSG00000006062,MAP3K14,hg38
ENSG00000006071,ABCC8,hg38
ENSG00000006116,CACNG3,hg38
ENSG00000006118,TMEM132A,hg38
ENSG00000006125,AP2B1,hg38
ENSG00000006128,TAC1,hg38
ENSG00000006194,ZNF263,hg38
ENSG00000006210,CX3CL1,hg38
ENSG00000006282,SPATA20,hg38
ENSG00000006283,CACNA1G,hg38
ENSG00000006327,TNFRSF12A,hg38
ENSG00000006377,DLX6,hg38
ENSG00000006432,MAP3K9,hg38
ENSG00000006451,RALA,hg38
ENSG00000006453,BAIAP2L1,hg38
ENSG00000006459,KDM7A,hg38
ENSG00000006468,ETV1,hg38
ENSG00000006530,AGK,hg38
ENSG00000006534,ALDH3B1,hg38
ENSG00000006555,TTC22,hg38
ENSG00000006576,PHTF2,hg38
ENSG00000006606,CCL26,hg38
ENSG00000006607,FARP2,hg38
ENSG00000006611,USH1C,hg38
ENSG00000006625,GGCT,hg38
ENSG00000006634,DBF4,hg38
ENSG00000006638,TBXA2R,hg38
ENSG00000006652,IFRD1,hg38
ENSG00000006659,LGALS14,hg38
ENSG00000006695,COX10,hg38
ENSG00000006704,GTF2IRD1,hg38
ENSG00000006712,PAF1,hg38
ENSG00000006715,VPS41,hg38
ENSG00000006740,ARHGAP44,hg38
ENSG00000006744,ELAC2,hg38
ENSG00000006747,SCIN,hg38
ENSG00000006756,ARSD,hg38
ENSG00000006757,PNPLA4,hg38
ENSG00000006788,MYH13,hg38
ENSG00000006831,ADIPOR2,hg38
ENSG00000006837,CDKL3,hg38
ENSG00000007001,UPP2,hg38
ENSG00000007038,PRSS21,hg38
ENSG00000007047,MARK4,hg38
ENSG00000007062,PROM1,hg38
ENSG00000007080,CCDC124,hg38
ENSG00000007129,CEACAM21,hg38
ENSG00000007168,PAFAH1B1,hg38
ENSG00000007171,NOS2,hg38
ENSG00000007174,DNAH9,hg38
ENSG00000007202,BLTP2,hg38
ENSG00000007216,SLC13A2,hg38
ENSG00000007237,GAS7,hg38
ENSG00000007255,TRAPPC6A,hg38
ENSG00000007264,MATK,hg38
ENSG00000007306,CEACAM7,hg38
ENSG00000007312,CD79B,hg38
ENSG00000007314,SCN4A,hg38
ENSG00000007341,ST7L,hg38
ENSG00000007350,TKTL1,hg38
ENSG00000007372,PAX6,hg38
ENSG00000007376,RPUSD1,hg38
ENSG00000007384,RHBDF1,hg38
ENSG00000007392,LUC7L,hg38
ENSG00000007402,CACNA2D2,hg38
ENSG00000007516,BAIAP3,hg38
ENSG00000007520,TSR3,hg38
ENSG00000007541,PIGQ,hg38
ENSG00000007545,CRAMP1,hg38
ENSG00000007866,TEAD3,hg38
ENSG00000007908,SELE,hg38
ENSG00000007923,DNAJC11,hg38
ENSG00000007933,FMO3,hg38
ENSG00000007944,MYLIP,hg38
ENSG00000007952,NOX1,hg38
ENSG00000007968,E2F2,hg38
ENSG00000008018,PSMB1,hg38
ENSG00000008056,SYN1,hg38
ENSG00000008083,JARID2,hg38
ENSG00000008086,CDKL5,hg38
ENSG00000008118,CAMK1G,hg38
ENSG00000008128,CDK11A,hg38
ENSG00000008130,NADK,hg38
ENSG00000008196,TFAP2B,hg38
ENSG00000008197,TFAP2D,hg38
ENSG00000008226,DLEC1,hg38
ENSG00000008256,CYTH3,hg38
ENSG00000008277,ADAM22,hg38
ENSG00000008282,SYPL1,hg38
ENSG00000008283,CYB561,hg38
ENSG00000008294,SPAG9,hg38
ENSG00000008300,CELSR3,hg38
ENSG00000008311,AASS,hg38
ENSG00000008323,PLEKHG6,hg38
ENSG00000008324,SS18L2,hg38
ENSG00000008382,MPND,hg38
ENSG00000008394,MGST1,hg38
ENSG00000008405,CRY1,hg38
ENSG00000008438,PGLYRP1,hg38
ENSG00000008441,NFIX,hg38
ENSG00000008513,ST3GAL1,hg38
ENSG00000008516,MMP25,hg38
ENSG00000008517,IL32,hg38
ENSG00000008710,PKD1,hg38
ENSG00000008735,MAPK8IP2,hg38
ENSG00000008838,MED24,hg38
ENSG00000008853,RHOBTB2,hg38
ENSG00000008869,HEATR5B,hg38
ENSG00000008952,SEC62,hg38
ENSG00000008988,RPS20,hg38
ENSG00000009307,CSDE1,hg38
ENSG00000009335,UBE3C,hg38
ENSG00000009413,REV3L,hg38
ENSG00000009694,TENM1,hg38
ENSG00000009709,PAX7,hg38
ENSG00000009724,MASP2,hg38
ENSG00000009765,IYD,hg38
ENSG00000009780,FAM76A,hg38
ENSG00000009790,TRAF3IP3,hg38
ENSG00000009830,POMT2,hg38
ENSG00000009844,VTA1,hg38
ENSG00000009950,MLXIPL,hg38
ENSG00000009954,BAZ1B,hg38
ENSG00000010017,RANBP9,hg38
ENSG00000010030,ETV7,hg38
ENSG00000010072,SPRTN,hg38
ENSG00000010165,METTL13,hg38
ENSG00000010219,DYRK4,hg38
ENSG00000010244,ZNF207,hg38
ENSG00000010256,UQCRC1,hg38
ENSG00000010270,STARD3NL,hg38
ENSG00000010278,CD9,hg38
ENSG00000010282,HHATL,hg38
ENSG00000010292,NCAPD2,hg38
ENSG00000010295,IFFO1,hg38
ENSG00000010310,GIPR,hg38
ENSG00000010318,PHF7,hg38
ENSG00000010319,SEMA3G,hg38
ENSG00000010322,NISCH,hg38
ENSG00000010327,STAB1,hg38
ENSG00000010361,FUZ,hg38
ENSG00000010379,SLC6A13,hg38
ENSG00000010404,IDS,hg38
ENSG00000010438,PRSS3,hg38
ENSG00000010539,ZNF200,hg38
ENSG00000010610,CD4,hg38
ENSG00000010626,LRRC23,hg38
ENSG00000010671,BTK,hg38
ENSG00000010704,HFE,hg38
ENSG00000010803,SCMH1,hg38
ENSG00000010810,FYN,hg38
ENSG00000010818,HIVEP2,hg38
ENSG00000010932,FMO1,hg38
ENSG00000011007,ELOA,hg38
ENSG00000011009,LYPLA2,hg38
ENSG00000011021,CLCN6,hg38
ENSG00000011028,MRC2,hg38
ENSG00000011052,NME1-NME2,hg38
ENSG00000011083,SLC6A7,hg38
ENSG00000011105,TSPAN9,hg38
ENSG00000011114,BTBD7,hg38
ENSG00000011132,APBA3,hg38
ENSG00000011143,MKS1,hg38
ENSG00000011198,ABHD5,hg38
ENSG00000011201,ANOS1,hg38
ENSG00000011243,AKAP8L,hg38
ENSG00000011258,MBTD1,hg38
ENSG00000011260,UTP18,hg38
ENSG00000011275,RNF216,hg38
ENSG00000011295,TTC19,hg38
ENSG00000011304,PTBP1,hg38
ENSG00000011332,DPF1,hg38
ENSG00000011347,SYT7,hg38
ENSG00000011376,LARS2,hg38
ENSG00000011405,PIK3C2A,hg38
ENSG00000011422,PLAUR,hg38
ENSG00000011426,ANLN,hg38
ENSG00000011451,WIZ,hg38
ENSG00000011454,RABGAP1,hg38
ENSG00000011465,DCN,hg38
ENSG00000011478,QPCTL,hg38
ENSG00000011485,PPP5C,hg38
ENSG00000011523,CEP68,hg38
ENSG00000011566,MAP4K3,hg38
ENSG00000011590,ZBTB32,hg38
ENSG00000011600,TYROBP,hg38
ENSG00000011638,LDAF1,hg38
ENSG00000011677,GABRA3,hg38
ENSG00000012048,BRCA1,hg38
ENSG00000012061,ERCC1,hg38
ENSG00000012124,CD22,hg38
ENSG00000012171,SEMA3B,hg38
ENSG00000012174,MBTPS2,hg38
ENSG00000012211,PRICKLE3,hg38
ENSG00000012223,LTF,hg38
ENSG00000012232,EXTL3,hg38
ENSG00000012504,NR1H4,hg38
ENSG00000012660,ELOVL5,hg38
ENSG00000012779,ALOX5,hg38
ENSG00000012817,KDM5D,hg38
ENSG00000012822,CALCOCO1,hg38
ENSG00000012963,UBR7,hg38
ENSG00000012983,MAP4K5,hg38
ENSG00000013016,EHD3,hg38
ENSG00000013275,PSMC4,hg38
ENSG00000013288,MAN2B2,hg38
ENSG00000013293,SLC7A14,hg38
ENSG00000013297,CLDN11,hg38
ENSG00000013306,SLC25A39,hg38
ENSG00000013364,MVP,hg38
ENSG00000013374,NUB1,hg38
ENSG00000013375,PGM3,hg38
ENSG00000013392,RWDD2A,hg38
ENSG00000013441,CLK1,hg38
ENSG00000013503,POLR3B,hg38
ENSG00000013523,ANGEL1,hg38
ENSG00000013561,RNF14,hg38
ENSG00000013563,DNASE1L1,hg38
ENSG00000013573,DDX11,hg38
ENSG00000013583,HEBP1,hg38
ENSG00000013588,GPRC5A,hg38
ENSG00000013619,MAMLD1,hg38
ENSG00000013725,CD6,hg38
ENSG00000013810,TACC3,hg38
ENSG00000014123,UFL1,hg38
ENSG00000014138,POLA2,hg38
ENSG00000014164,ZC3H3,hg38
ENSG00000014216,CAPN1,hg38
ENSG00000014257,ACP3,hg38
ENSG00000014641,MDH1,hg38
ENSG00000014824,SLC30A9,hg38
ENSG00000014914,MTMR11,hg38
ENSG00000014919,COX15,hg38
ENSG00000015133,CCDC88C,hg38
ENSG00000015153,YAF2,hg38
ENSG00000015171,ZMYND11,hg38
ENSG00000015285,WAS,hg38
ENSG00000015413,DPEP1,hg38
ENSG00000015475,BID,hg38
ENSG00000015479,MATR3,hg38
ENSG00000015520,NPC1L1,hg38
ENSG00000015532,XYLT2,hg38
ENSG00000015568,RGPD5,hg38
ENSG00000015592,STMN4,hg38
ENSG00000015676,NUDCD3,hg38
ENSG00000016082,ISL1,hg38
ENSG00000016391,CHDH,hg38
ENSG00000016402,IL20RA,hg38
ENSG00000016490,CLCA1,hg38
ENSG00000016602,CLCA4,hg38
ENSG00000016864,GLT8D1,hg38
ENSG00000017260,ATP2C1,hg38
ENSG00000017427,IGF1,hg38
ENSG00000017483,SLC38A5,hg38
ENSG00000017797,RALBP1,hg38
ENSG00000018189,RUFY3,hg38
ENSG00000018236,CNTN1,hg38
ENSG00000018280,SLC11A1,hg38
ENSG00000018408,WWTR1,hg38
ENSG00000018510,AGPS,hg38
ENSG00000018607,ZNF285CP,hg38
ENSG00000018610,STEEP1,hg38
ENSG00000018625,ATP1A2,hg38
ENSG00000018699,TTC27,hg38
ENSG00000018869,ZNF582,hg38
ENSG00000019102,VSIG2,hg38
ENSG00000019144,PHLDB1,hg38
ENSG00000019169,MARCO,hg38
ENSG00000019186,CYP24A1,hg38
ENSG00000019485,PRDM11,hg38
ENSG00000019505,SYT13,hg38
ENSG00000019549,SNAI2,hg38
ENSG00000019582,CD74,hg38
ENSG00000019991,HGF,hg38
ENSG00000019995,ZRANB1,hg38
ENSG00000020129,NCDN,hg38
ENSG00000020181,ADGRA2,hg38
ENSG00000020219,CCT8L1P,hg38
ENSG00000020256,ZFP64,hg38
ENSG00000020426,MNAT1,hg38
ENSG00000020577,SAMD4A,hg38
ENSG00000020633,RUNX3,hg38
ENSG00000020922,MRE11,hg38
ENSG00000021300,PLEKHB1,hg38
ENSG00000021355,SERPINB1,hg38
ENSG00000021461,CYP3A43,hg38
ENSG00000021488,SLC7A9,hg38
ENSG00000021574,SPAST,hg38
ENSG00000021645,NRXN3,hg38
ENSG00000021762,OSBPL5,hg38
ENSG00000021776,AQR,hg38
ENSG00000021826,CPS1,hg38
ENSG00000021852,C8B,hg38
ENSG00000022267,FHL1,hg38
ENSG00000022277,RTF2,hg38
ENSG00000022355,GABRA1,hg38
ENSG00000022556,NLRP2,hg38
ENSG00000022567,SLC45A4,hg38
ENSG00000022840,RNF10,hg38
ENSG00000022976,ZNF839,hg38
ENSG00000023041,ZDHHC6,hg38
ENSG00000023171,GRAMD1B,hg38
ENSG00000023191,RNH1,hg38
ENSG00000023228,NDUFS1,hg38
ENSG00000023287,RB1CC1,hg38
ENSG00000023318,ERP44,hg38
ENSG00000023330,ALAS1,hg38
ENSG00000023445,BIRC3,hg38
ENSG00000023516,AKAP11,hg38
ENSG00000023572,GLRX2,hg38
ENSG00000023608,SNAPC1,hg38
ENSG00000023697,DERA,hg38
ENSG00000023734,STRAP,hg38
ENSG00000023839,ABCC2,hg38
ENSG00000023892,DEF6,hg38
ENSG00000023902,PLEKHO1,hg38
ENSG00000023909,GCLM,hg38
ENSG00000024048,UBR2,hg38
ENSG00000024422,EHD2,hg38
ENSG00000024526,DEPDC1,hg38
ENSG00000024862,CCDC28A,hg38
ENSG00000025039,RRAGD,hg38
ENSG00000025156,HSF2,hg38
ENSG00000025293,PHF20,hg38
ENSG00000025423,HSD17B6,hg38
ENSG00000025434,NR1H3,hg38
ENSG00000025708,TYMP,hg38
ENSG00000025770,NCAPH2,hg38
ENSG00000025772,TOMM34,hg38
ENSG00000025796,SEC63,hg38
ENSG00000025800,KPNA6,hg38
ENSG00000026025,VIM,hg38
ENSG00000026036,RTEL1-TNFRSF6B,hg38
ENSG00000026103,FAS,hg38
ENSG00000026297,RNASET2,hg38
ENSG00000026508,CD44,hg38
ENSG00000026559,KCNG1,hg38
ENSG00000026652,AGPAT4,hg38
ENSG00000026751,SLAMF7,hg38
ENSG00000026950,BTN3A1,hg38
ENSG00000027001,MIPEP,hg38
ENSG00000027075,PRKCH,hg38
ENSG00000027644,INSRR,hg38
ENSG00000027697,IFNGR1,hg38
ENSG00000027847,B4GALT7,hg38
ENSG00000027869,SH2D2A,hg38
ENSG00000028116,VRK2,hg38
ENSG00000028137,TNFRSF1B,hg38
ENSG00000028203,VEZT,hg38
ENSG00000028277,POU2F2,hg38
ENSG00000028310,BRD9,hg38
ENSG00000028528,SNX1,hg38
ENSG00000028839,TBPL1,hg38
ENSG00000029153,BMAL2,hg38
ENSG00000029363,BCLAF1,hg38
ENSG00000029364,SLC39A9,hg38
ENSG00000029534,ANK1,hg38
ENSG00000029559,IBSP,hg38
ENSG00000029639,TFB1M,hg38
ENSG00000029725,RABEP1,hg38
ENSG00000029993,HMGB3,hg38
ENSG00000030066,NUP160,hg38
ENSG00000030110,BAK1,hg38
ENSG00000030304,MUSK,hg38
ENSG00000030419,IKZF2,hg38
ENSG00000030582,GRN,hg38
ENSG00000031003,FAM13B,hg38
ENSG00000031081,ARHGAP31,hg38
ENSG00000031691,CENPQ,hg38
ENSG00000031698,SARS1,hg38
ENSG00000031823,RANBP3,hg38
ENSG00000032219,ARID4A,hg38
ENSG00000032389,EIPR1,hg38
ENSG00000032444,PNPLA6,hg38
ENSG00000032742,IFT88,hg38
ENSG00000033011,ALG1,hg38
ENSG00000033030,ZCCHC8,hg38
ENSG00000033050,ABCF2,hg38
ENSG00000033100,CHPF2,hg38
ENSG00000033122,LRRC7,hg38
ENSG00000033170,FUT8,hg38
ENSG00000033178,UBA6,hg38
ENSG00000033327,GAB2,hg38
ENSG00000033627,ATP6V0A1,hg38
ENSG00000033800,PIAS1,hg38
ENSG00000033867,SLC4A7,hg38
ENSG00000034053,APBA2,hg38
ENSG00000034152,MAP2K3,hg38
ENSG00000034239,CLXN,hg38
ENSG00000034510,TMSB10,hg38
ENSG00000034533,ASTE1,hg38
ENSG00000034677,RNF19A,hg38
ENSG00000034693,PEX3,hg38
ENSG00000034713,GABARAPL2,hg38
ENSG00000034971,MYOC,hg38
ENSG00000035115,SH3YL1,hg38
ENSG00000035141,FAM136A,hg38
ENSG00000035403,VCL,hg38
ENSG00000035499,DEPDC1B,hg38
ENSG00000035664,DAPK2,hg38
ENSG00000035681,NSMAF,hg38
ENSG00000035687,ADSS2,hg38
ENSG00000035720,STAP1,hg38
ENSG00000035862,TIMP2,hg38
ENSG00000035928,RFC1,hg38
ENSG00000036054,TBC1D23,hg38
ENSG00000036257,CUL3,hg38
ENSG00000036448,MYOM2,hg38
ENSG00000036473,OTC,hg38
ENSG00000036530,CYP46A1,hg38
ENSG00000036549,ZZZ3,hg38
ENSG00000036565,SLC18A1,hg38
ENSG00000036672,USP2,hg38
ENSG00000036828,CASR,hg38
ENSG00000037042,TUBG2,hg38
ENSG00000037241,RPL26L1,hg38
ENSG00000037280,FLT4,hg38
ENSG00000037474,NSUN2,hg38
ENSG00000037637,FBXO42,hg38
ENSG00000037749,MFAP3,hg38
ENSG00000037757,MRI1,hg38
ENSG00000037897,METTL1,hg38
ENSG00000037965,HOXC8,hg38
ENSG00000038002,AGA,hg38
ENSG00000038210,PI4K2B,hg38
ENSG00000038219,BOD1L1,hg38
ENSG00000038274,MAT2B,hg38
ENSG00000038295,TLL1,hg38
ENSG00000038358,EDC4,hg38
ENSG00000038382,TRIO,hg38
ENSG00000038427,VCAN,hg38
ENSG00000038532,CLEC16A,hg38
ENSG00000038945,MSR1,hg38
ENSG00000039068,CDH1,hg38
ENSG00000039123,MTREX,hg38
ENSG00000039139,DNAH5,hg38
ENSG00000039319,ZFYVE16,hg38
ENSG00000039523,RIPOR1,hg38
ENSG00000039537,C6,hg38
ENSG00000039560,RAI14,hg38
ENSG00000039600,SOX30,hg38
ENSG00000039650,PNKP,hg38
ENSG00000039987,BEST2,hg38
ENSG00000040199,PHLPP2,hg38
ENSG00000040275,SPDL1,hg38
ENSG00000040341,STAU2,hg38
ENSG00000040487,SLC66A1,hg38
ENSG00000040531,CTNS,hg38
ENSG00000040608,RTN4R,hg38
ENSG00000040633,PHF23,hg38
ENSG00000040731,CDH10,hg38
ENSG00000040933,INPP4A,hg38
ENSG00000041353,RAB27B,hg38
ENSG00000041357,PSMA4,hg38
ENSG00000041515,MYO16,hg38
ENSG00000041802,LSG1,hg38
ENSG00000041880,PARP3,hg38
ENSG00000041982,TNC,hg38
ENSG00000041988,THAP3,hg38
ENSG00000042062,RIPOR3,hg38
ENSG00000042088,TDP1,hg38
ENSG00000042286,AIFM2,hg38
ENSG00000042304,C2orf83,hg38
ENSG00000042317,SPATA7,hg38
ENSG00000042429,MED17,hg38
ENSG00000042445,RETSAT,hg38
ENSG00000042493,CAPG,hg38
ENSG00000042753,AP2S1,hg38
ENSG00000042781,USH2A,hg38
ENSG00000042813,ZPBP,hg38
ENSG00000042832,TG,hg38
ENSG00000042980,ADAM28,hg38
ENSG00000043039,BARX2,hg38
ENSG00000043093,DCUN1D1,hg38
ENSG00000043143,JADE2,hg38
ENSG00000043355,ZIC2,hg38
ENSG00000043462,LCP2,hg38
ENSG00000043514,TRIT1,hg38
ENSG00000043591,ADRB1,hg38
ENSG00000044012,GUCA2B,hg38
ENSG00000044090,CUL7,hg38
ENSG00000044115,CTNNA1,hg38
ENSG00000044446,PHKA2,hg38
ENSG00000044459,CNTLN,hg38
ENSG00000044524,EPHA3,hg38
ENSG00000044574,HSPA5,hg38
ENSG00000046604,DSG2,hg38
ENSG00000046647,GEMIN8,hg38
ENSG00000046651,OFD1,hg38
ENSG00000046653,GPM6B,hg38
ENSG00000046774,MAGEC2,hg38
ENSG00000046889,PREX2,hg38
ENSG00000047056,WDR37,hg38
ENSG00000047188,YTHDC2,hg38
ENSG00000047230,CTPS2,hg38
ENSG00000047249,ATP6V1H,hg38
ENSG00000047315,POLR2B,hg38
ENSG00000047346,ATOSA,hg38
ENSG00000047365,ARAP2,hg38
ENSG00000047410,TPR,hg38
ENSG00000047457,CP,hg38
ENSG00000047578,KATNIP,hg38
ENSG00000047579,DTNBP1,hg38
ENSG00000047597,XK,hg38
ENSG00000047617,ANO2,hg38
ENSG00000047621,C12orf4,hg38
ENSG00000047634,SCML1,hg38
ENSG00000047644,WWC3,hg38
ENSG00000047648,ARHGAP6,hg38
ENSG00000047662,FAM184B,hg38
ENSG00000047849,MAP4,hg38
ENSG00000047932,GOPC,hg38
ENSG00000047936,ROS1,hg38
ENSG00000048028,USP28,hg38
ENSG00000048052,HDAC9,hg38
ENSG00000048140,TSPAN17,hg38
ENSG00000048162,NOP16,hg38
ENSG00000048342,CC2D2A,hg38
ENSG00000048392,RRM2B,hg38
ENSG00000048405,ZNF800,hg38
ENSG00000048462,TNFRSF17,hg38
ENSG00000048471,SNX29,hg38
ENSG00000048540,LMO3,hg38
ENSG00000048544,MRPS10,hg38
ENSG00000048545,GUCA1A,hg38
ENSG00000048649,RSF1,hg38
ENSG00000048707,VPS13D,hg38
ENSG00000048740,CELF2,hg38
ENSG00000048828,FAM120A,hg38
ENSG00000048991,R3HDM1,hg38
ENSG00000049089,COL9A2,hg38
ENSG00000049130,KITLG,hg38
ENSG00000049167,ERCC8,hg38
ENSG00000049192,ADAMTS6,hg38
ENSG00000049239,H6PD,hg38
ENSG00000049245,VAMP3,hg38
ENSG00000049246,PER3,hg38
ENSG00000049247,UTS2,hg38
ENSG00000049249,TNFRSF9,hg38
ENSG00000049283,EPN3,hg38
ENSG00000049323,LTBP1,hg38
ENSG00000049449,RCN1,hg38
ENSG00000049540,ELN,hg38
ENSG00000049541,RFC2,hg38
ENSG00000049618,ARID1B,hg38
ENSG00000049656,CLPTM1L,hg38
ENSG00000049759,NEDD4L,hg38
ENSG00000049768,FOXP3,hg38
ENSG00000049769,PPP1R3F,hg38
ENSG00000049860,HEXB,hg38
ENSG00000049883,PTCD2,hg38
ENSG00000050030,NEXMIF,hg38
ENSG00000050130,JKAMP,hg38
ENSG00000050165,DKK3,hg38
ENSG00000050327,ARHGEF5,hg38
ENSG00000050344,NFE2L3,hg38
ENSG00000050393,MCUR1,hg38
ENSG00000050405,LIMA1,hg38
ENSG00000050426,LETMD1,hg38
ENSG00000050438,SLC4A8,hg38
ENSG00000050555,LAMC3,hg38
ENSG00000050628,PTGER3,hg38
ENSG00000050730,TNIP3,hg38
ENSG00000050748,MAPK9,hg38
ENSG00000050767,COL23A1,hg38
ENSG00000050820,BCAR1,hg38
ENSG00000051009,FHIP1B,hg38
ENSG00000051108,HERPUD1,hg38
ENSG00000051128,HOMER3,hg38
ENSG00000051180,RAD51,hg38
ENSG00000051341,POLQ,hg38
ENSG00000051382,PIK3CB,hg38
ENSG00000051523,CYBA,hg38
ENSG00000051596,THOC3,hg38
ENSG00000051620,HEBP2,hg38
ENSG00000051825,MPHOSPH9,hg38
ENSG00000052126,PLEKHA5,hg38
ENSG00000052344,PRSS8,hg38
ENSG00000052723,SIKE1,hg38
ENSG00000052749,RRP12,hg38
ENSG00000052795,FNIP2,hg38
ENSG00000052802,MSMO1,hg38
ENSG00000052841,TTC17,hg38
ENSG00000052850,ALX4,hg38
ENSG00000053108,FSTL4,hg38
ENSG00000053254,FOXN3,hg38
ENSG00000053328,METTL24,hg38
ENSG00000053371,AKR7A2,hg38
ENSG00000053372,MRTO4,hg38
ENSG00000053438,NNAT,hg38
ENSG00000053501,USE1,hg38
ENSG00000053524,MCF2L2,hg38
ENSG00000053702,NRIP2,hg38
ENSG00000053747,LAMA3,hg38
ENSG00000053770,AP5M1,hg38
ENSG00000053900,ANAPC4,hg38
ENSG00000053918,KCNQ1,hg38
ENSG00000054116,TRAPPC3,hg38
ENSG00000054118,THRAP3,hg38
ENSG00000054148,PHPT1,hg38
ENSG00000054179,ENTPD2,hg38
ENSG00000054219,LY75,hg38
ENSG00000054267,ARID4B,hg38
ENSG00000054277,OPN3,hg38
ENSG00000054282,SDCCAG8,hg38
ENSG00000054356,PTPRN,hg38
ENSG00000054392,HHAT,hg38
ENSG00000054523,KIF1B,hg38
ENSG00000054598,FOXC1,hg38
ENSG00000054611,TBC1D22A,hg38
ENSG00000054654,SYNE2,hg38
ENSG00000054690,PLEKHH1,hg38
ENSG00000054793,ATP9A,hg38
ENSG00000054796,SPO11,hg38
ENSG00000054803,CBLN4,hg38
ENSG00000054938,CHRDL2,hg38
ENSG00000054965,FAM168A,hg38
ENSG00000054967,RELT,hg38
ENSG00000054983,GALC,hg38
